HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.Correctness.label,Approve,Reject
3GMLHYZ0LES45G5Z0HK11KHHNHPUYH,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,36W0OB37HX91S47DM6KNKWXHJV3ZH8,A12ATVBE1I4567,Submitted,Thu Nov 05 17:19:08 PST 2020,Thu Nov 05 17:20:00 PST 2020,Sun Nov 08 17:20:00 PST 2020,,,,52,0% (0/0),0% (0/0),0% (0/0),"A is a cat, B is a goat, so A is not less likely to be in a bed than B","A is a cat, B is a goat, so A is not more likely to be in a bed than B",Neither of them follow commonsense,,
3GMLHYZ0LES45G5Z0HK11KHHNHPUYH,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3IAS3U3I0GB1VG1FX71DBAKC39ZB2W,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:15:13 PST 2020,Thu Nov 05 17:20:18 PST 2020,Sun Nov 08 17:20:18 PST 2020,,,,305,0% (0/0),0% (0/0),0% (0/0),"A is a cat, B is a goat, so A is not less likely to be in a bed than B","A is a cat, B is a goat, so A is not more likely to be in a bed than B",Statement 1 follows commonsense,,
3APP19WN719JHEUYAT0SEEWXFZHG63,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3K5TEWLKGW6KFFDNRRD5Z2L0VXBVIW,A1GASF35DM5ZD6,Submitted,Thu Nov 05 17:13:30 PST 2020,Thu Nov 05 17:13:40 PST 2020,Sun Nov 08 17:13:40 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),"A visits the doctor while B does not, so A is not more eager than B","A visits the doctor while B does not, so A is not less eager than B",Neither of them follow commonsense,,
3APP19WN719JHEUYAT0SEEWXFZHG63,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3N4BPTXIO9NB8VEBM4OCGWYU9URKU7,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:06:44 PST 2020,Thu Nov 05 17:07:23 PST 2020,Sun Nov 08 17:07:23 PST 2020,,,,39,0% (0/0),0% (0/0),0% (0/0),"A visits the doctor while B does not, so A is not more eager than B","A visits the doctor while B does not, so A is not less eager than B",Sentence 2 follows commonsense,,
3JMQI2OLFZ0OCFQZ7KL1A4FMXXQDN0,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3S96KQ6I9NZOUCTCUICF7NH267ODTX,AYYSG3O9FNU15,Submitted,Thu Nov 05 17:14:52 PST 2020,Thu Nov 05 17:15:02 PST 2020,Sun Nov 08 17:15:02 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),"A gives B nothing, so A is more likely to be mean than B","A gives B nothing, so A is less likely to be mean than B",Statement 1 follows commonsense,,
3JMQI2OLFZ0OCFQZ7KL1A4FMXXQDN0,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3UNH76FOCT0NFSYJHHYHYUWBUNXYMO,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:10:19 PST 2020,Thu Nov 05 17:16:09 PST 2020,Sun Nov 08 17:16:09 PST 2020,,,,350,0% (0/0),0% (0/0),0% (0/0),"A gives B nothing, so A is more likely to be mean than B","A gives B nothing, so A is less likely to be mean than B",Statement 1 follows commonsense,,
3VADEH0UHCSUHPLUKPTI9S6HYF1SP5,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3KOPY89HM9XWYHVAPZSZS88HHS73JJ,ATXAVU13VN2I,Submitted,Thu Nov 05 17:07:29 PST 2020,Thu Nov 05 17:07:56 PST 2020,Sun Nov 08 17:07:56 PST 2020,,,,27,0% (0/0),0% (0/0),0% (0/0),"A calls another person's brother while B does not, so A is less chatty than B","A calls another person's brother while B does not, so A is more chatty than B",They both follow commonsense,,
3VADEH0UHCSUHPLUKPTI9S6HYF1SP5,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3QILPRALQ6QEI4S1GEFNCWX96Y5N80,A30US88GBGBG0V,Submitted,Thu Nov 05 17:20:15 PST 2020,Thu Nov 05 17:20:29 PST 2020,Sun Nov 08 17:20:29 PST 2020,,,,14,0% (0/0),0% (0/0),0% (0/0),"A calls another person's brother while B does not, so A is less chatty than B","A calls another person's brother while B does not, so A is more chatty than B",They both follow commonsense,,
3M0556243SFLAZ4VYQGRY4I79A6NFL,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3I0BTBYZAYGQCERCSCBJ0XPYRKW0YF,A12ATVBE1I4567,Submitted,Thu Nov 05 17:06:42 PST 2020,Thu Nov 05 17:07:17 PST 2020,Sun Nov 08 17:07:17 PST 2020,,,,35,0% (0/0),0% (0/0),0% (0/0),"A is living in northern Siberia, B is living in Nepal, so B is not likely living in a colder condition than A.","A is living in northern Siberia, B is living in Nepal, so B is not likely living in a hotter condition than A.",They both follow commonsense,,
3M0556243SFLAZ4VYQGRY4I79A6NFL,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3WMOAN2SRCSCTGOEO7QX4AHHHW5VNC,A22VGT2F28LTWC,Submitted,Thu Nov 05 17:13:48 PST 2020,Thu Nov 05 17:14:27 PST 2020,Sun Nov 08 17:14:27 PST 2020,,,,39,0% (0/0),0% (0/0),0% (0/0),"A is living in northern Siberia, B is living in Nepal, so B is not likely living in a colder condition than A.","A is living in northern Siberia, B is living in Nepal, so B is not likely living in a hotter condition than A.",Sentence 2 follows commonsense,,
3DWNFENNE3QFTTGLZBSGET4ZB0SJ4P,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,30BXRYBRP5SXY928BJ0GLS3Z2TZWHF,A1S8KMGKJACGVO,Submitted,Thu Nov 05 17:18:42 PST 2020,Thu Nov 05 17:19:00 PST 2020,Sun Nov 08 17:19:00 PST 2020,,,,18,0% (0/0),0% (0/0),0% (0/0),"A reaches another person level than B, so B is less prepared than A","A reaches another person level than B, so B is more prepared than A",Neither of them follow commonsense,,
3DWNFENNE3QFTTGLZBSGET4ZB0SJ4P,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3NAPMVF0ZXAET4YPKQPX68YGKJ8271,A22VGT2F28LTWC,Submitted,Thu Nov 05 17:12:14 PST 2020,Thu Nov 05 17:12:25 PST 2020,Sun Nov 08 17:12:25 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),"A reaches another person level than B, so B is less prepared than A","A reaches another person level than B, so B is more prepared than A",Statement 1 follows commonsense,,
3TRB893CSJ52LE83T35KKSWTAA1G72,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3NKQQ8O39Z03UP81UN2PCJ34PLVDUO,A3INH7VQY14DOF,Submitted,Thu Nov 05 17:14:58 PST 2020,Thu Nov 05 17:15:13 PST 2020,Sun Nov 08 17:15:13 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),"A is living in Gabon, B is living in  Shetland, so B is likely living in a less hot condition than A.","A is living in Gabon, B is living in  Shetland, so B is likely living in a more hot condition than A.",Statement 1 follows commonsense,,
3TRB893CSJ52LE83T35KKSWTAA1G72,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3SBEHTYCWOY1J98SW20P61PUDEDIYS,AYYSG3O9FNU15,Submitted,Thu Nov 05 17:08:05 PST 2020,Thu Nov 05 17:08:28 PST 2020,Sun Nov 08 17:08:28 PST 2020,,,,23,0% (0/0),0% (0/0),0% (0/0),"A is living in Gabon, B is living in  Shetland, so B is likely living in a less hot condition than A.","A is living in Gabon, B is living in  Shetland, so B is likely living in a more hot condition than A.",Statement 1 follows commonsense,,
3MA5N0ATTC6MDF5NR2YBA0N3AIRKWB,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,3AAPLD8UCDC56SYEGEV5Y8W0YZITHN,A12ATVBE1I4567,Submitted,Thu Nov 05 17:22:54 PST 2020,Thu Nov 05 17:23:10 PST 2020,Sun Nov 08 17:23:10 PST 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),"A flies everywhere while B does not, so A is more well-traveled than B","A flies everywhere while B does not, so A is less well-traveled than B",Statement 1 follows commonsense,,
3MA5N0ATTC6MDF5NR2YBA0N3AIRKWB,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,3P529IW9KZGX9JZ3CF5E9WA6O7ILFD,A1GASF35DM5ZD6,Submitted,Thu Nov 05 17:16:34 PST 2020,Thu Nov 05 17:17:05 PST 2020,Sun Nov 08 17:17:05 PST 2020,,,,31,0% (0/0),0% (0/0),0% (0/0),"A flies everywhere while B does not, so A is more well-traveled than B","A flies everywhere while B does not, so A is less well-traveled than B",Neither of them follow commonsense,,
3SSN80MU8CJ12FAD17UXCJ1AJKXKX4,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,30OG32W0SV6VR52STH1N46TVH12ENP,AYYSG3O9FNU15,Submitted,Thu Nov 05 17:09:09 PST 2020,Thu Nov 05 17:09:28 PST 2020,Sun Nov 08 17:09:28 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),"A is cleaning their apartment while B is not, so A is not less obsessive than B","A is cleaning their apartment while B is not, so A is not more obsessive than B",Neither of them follow commonsense,,
3SSN80MU8CJ12FAD17UXCJ1AJKXKX4,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,3F1567XTNX0ZZ6O31YDIGMNPVFAQ9F,A19Y8QDS9ABVD4,Submitted,Thu Nov 05 17:16:00 PST 2020,Thu Nov 05 17:16:13 PST 2020,Sun Nov 08 17:16:13 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"A is cleaning their apartment while B is not, so A is not less obsessive than B","A is cleaning their apartment while B is not, so A is not more obsessive than B",Neither of them follow commonsense,,
31ODACBENUAFH1M9K2879XWR3BNSQW,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,39GXDJN2OU9RQ91AI51EMDRMS16V8O,A3U0KDVWCZ7VP9,Submitted,Thu Nov 05 17:12:47 PST 2020,Thu Nov 05 17:13:20 PST 2020,Sun Nov 08 17:13:20 PST 2020,,,,33,0% (0/0),0% (0/0),0% (0/0),"A is able to tell another person had done more than B, so A is not more Candid than B","A is able to tell another person had done more than B, so A is not less Candid than B",Neither of them follow commonsense,,
31ODACBENUAFH1M9K2879XWR3BNSQW,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,3QJOXOW4XKMP9NHSHGMNRR4VCBSMEX,A1N04FX8AHYPBU,Submitted,Thu Nov 05 17:09:12 PST 2020,Thu Nov 05 17:12:13 PST 2020,Sun Nov 08 17:12:13 PST 2020,,,,181,0% (0/0),0% (0/0),0% (0/0),"A is able to tell another person had done more than B, so A is not more Candid than B","A is able to tell another person had done more than B, so A is not less Candid than B",They both follow commonsense,,
3AA88CN98PYQ2K0N63GZVX8JLQRKYA,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,31JLPPHS2VPAZSM75CK404P3GMIO3O,A3INH7VQY14DOF,Submitted,Thu Nov 05 17:16:49 PST 2020,Thu Nov 05 17:17:02 PST 2020,Sun Nov 08 17:17:02 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"A is living in the southern Alaska United States, B is living in Kuwait, so A is not likely living in a colder condition than B.","A is living in the southern Alaska United States, B is living in Kuwait, so A is not likely living in a hotter condition than B.",Sentence 2 follows commonsense,,
3AA88CN98PYQ2K0N63GZVX8JLQRKYA,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,373ERPL3YP3IVMCHCJ7ZCCY6L8ETRI,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:09:31 PST 2020,Thu Nov 05 17:15:11 PST 2020,Sun Nov 08 17:15:11 PST 2020,,,,340,0% (0/0),0% (0/0),0% (0/0),"A is living in the southern Alaska United States, B is living in Kuwait, so A is not likely living in a colder condition than B.","A is living in the southern Alaska United States, B is living in Kuwait, so A is not likely living in a hotter condition than B.",Sentence 2 follows commonsense,,
3VDI8GSXAFO6LSDM38XQYSSOLU7G8P,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,34T446B1C19D9BQ7WKTU36XFOWF0C8,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:13:11 PST 2020,Thu Nov 05 17:17:38 PST 2020,Sun Nov 08 17:17:38 PST 2020,,,,267,0% (0/0),0% (0/0),0% (0/0),"A is living in southern China, B is living in Somalia, so B is likely living in a less cold condition than A.","A is living in southern China, B is living in Somalia, so B is likely living in a more cold condition than A.",Sentence 2 follows commonsense,,
3VDI8GSXAFO6LSDM38XQYSSOLU7G8P,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:29 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:29 PST 2020,,,3J2UYBXQQM7OTUH6MTGRH655SA460M,A1PUOSCN106A97,Submitted,Thu Nov 05 17:15:17 PST 2020,Thu Nov 05 17:22:29 PST 2020,Sun Nov 08 17:22:29 PST 2020,,,,432,0% (0/0),0% (0/0),0% (0/0),"A is living in southern China, B is living in Somalia, so B is likely living in a less cold condition than A.","A is living in southern China, B is living in Somalia, so B is likely living in a more cold condition than A.",Statement 1 follows commonsense,,
